Reference, Value, Footprint, Datasheet, MouserPartNo
"J_AD9833","Conn_01x07","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical",""
"C1","220nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"C2","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"U1","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM7805.pdf","926-LM7805CT/NOPB"
"R_VEL1","100R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J_OUT1","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"J_PWR1","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"U_POT1","MCP42050","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/11195c.pdf","579-MCP42050-I/SL"
"RV_FREQ1","B10K","PTH901:PTH901","","652-PTH901-030S-103B"
"A1","Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"C_POTBP1","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"ROFF1","1K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"ROFF2","1K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"SW_PWR1","SW_DPDT_x2","ALPS_SPUN191600:ALPS_SPUN191600",""
"RV_TIME1","R_POT_Dual_Separate","PTH901:PTH901",""
"R_PHASE1","100R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"CPWRBP2","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"CPWRBP1","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J_OLEDCONNECTOR1","Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"SW_MODE1","SW_SPST","Button_Switch_THT:SW_PUSH_6mm","","688-SKHHDJA010"
"SW_FUNC1","SW_SPST","Button_Switch_THT:SW_PUSH_6mm","","688-SKHHDJA010"
"R_MODE1","1K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R_FUNC1","1K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"SW_RANGE1","SW_SPST","Button_Switch_THT:SW_PUSH_6mm","","688-SKHHDJA010"
"R_RANGE1","1K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J_AUX2MAIN2","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"J_MAIN2AUX1","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"R_MIX2","1K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R_MIX1","1K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R_ISO1","600R 1%","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"RV_UPOFF1","100K","Potentiometer_THT:Potentiometer_Piher_PT-6-V_Vertical","~","652-3296Y-1-104LF"
"C_GAIN1","470pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"RV_AMP1","B10K","PTH901:PTH901","","652-PTH901-030S-103B"
"C_MIXBP2","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C_MIXBP3","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"RV_LOWOFF1","100K","Potentiometer_THT:Potentiometer_Piher_PT-6-V_Vertical","~","652-3296Y-1-104LF"
"TP_OFF1","TestPoint","TestPoint:TestPoint_Pad_D2.0mm","~"
"R_LOFF1","1K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R_HIOFF1","1K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"RF1","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"RG1","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"RF2","8K2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R_MIX3","1K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"U_BUFF1","LM7171","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"U_MIX1","LM7171","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"C_MIXBP1","2.2uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C_MIXBP4","2.2uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C_BUFFBP2","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C_BUFFBP3","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C_BUFFBP1","2.2uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C_BUFFBP4","2.2uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"CF2","2pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"CF1","2pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
